               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.03378,            0.022584,           0.0019698,             0.81972,             0.83086,             0.88791,             0.53293,            0.030233,            0.012463,           0.0010555,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033823,            0.022722,           0.0019425,             0.82117,             0.83806,             0.89147,             0.53583,            0.030049,            0.012467,           0.0010587,            0.007525,            0.007525,            0.007525
                  52,            0.033806,            0.022732,           0.0020728,              0.8425,              0.8151,             0.89118,             0.53724,            0.030057,            0.012431,           0.0010149,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033693,            0.022432,           0.0019276,              0.8431,             0.82569,             0.89164,             0.53725,             0.02995,            0.012373,           0.0010305,            0.007426,            0.007426,            0.007426
                  54,            0.033426,            0.022539,           0.0020956,             0.83603,             0.84051,             0.89725,             0.54097,            0.029951,            0.012306,           0.0010772,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033456,            0.022585,           0.0019477,             0.83653,             0.84179,             0.89911,             0.54475,            0.029845,            0.012271,           0.0011156,            0.007327,            0.007327,            0.007327
                  56,            0.033377,            0.022424,           0.0018279,             0.83272,              0.8401,             0.89787,             0.54545,             0.02979,            0.012258,           0.0010748,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033379,            0.022283,           0.0020715,             0.83565,             0.85392,              0.9009,             0.54896,             0.02974,            0.012206,            0.001012,            0.007228,            0.007228,            0.007228
                  58,            0.033247,            0.022422,           0.0019318,             0.83998,             0.85018,             0.90118,             0.55011,            0.029649,            0.012145,           0.0010147,           0.0071785,           0.0071785,           0.0071785
                  59,            0.033117,            0.022117,           0.0019029,             0.84797,             0.84201,             0.90316,             0.55193,            0.029498,            0.012116,          0.00099422,            0.007129,            0.007129,            0.007129
                  60,            0.033076,            0.022245,           0.0019004,             0.85113,             0.84492,             0.90414,             0.55331,             0.02936,            0.012092,          0.00098713,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032779,            0.022098,           0.0018909,             0.85079,             0.84366,             0.90523,             0.55611,             0.02918,            0.012052,          0.00097145,             0.00703,             0.00703,             0.00703
                  62,            0.032919,            0.021984,           0.0019787,             0.86215,             0.83961,             0.90694,             0.55731,            0.029109,            0.012021,          0.00095097,           0.0069805,           0.0069805,           0.0069805
                  63,             0.03276,            0.022007,           0.0017991,             0.84668,             0.84838,             0.90817,             0.55866,            0.029045,            0.011982,          0.00094425,            0.006931,            0.006931,            0.006931
                  64,            0.032622,            0.022129,           0.0017351,             0.85677,              0.8424,             0.90946,             0.56162,            0.029013,             0.01195,          0.00094733,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032468,            0.022024,           0.0019075,             0.85091,              0.8408,             0.90816,             0.56524,            0.028894,            0.011916,          0.00096178,            0.006832,            0.006832,            0.006832
                  66,            0.032252,            0.021956,           0.0017642,             0.85667,             0.83928,             0.90989,             0.56733,            0.028753,            0.011875,          0.00096358,           0.0067825,           0.0067825,           0.0067825
                  67,            0.032571,            0.021964,           0.0018338,             0.85708,             0.83951,             0.91181,             0.56886,            0.028648,            0.011845,          0.00095059,            0.006733,            0.006733,            0.006733
                  68,            0.032324,              0.0219,           0.0017753,             0.86013,             0.84593,             0.91481,             0.56998,            0.028595,            0.011832,          0.00093425,           0.0066835,           0.0066835,           0.0066835
                  69,            0.032203,            0.021849,           0.0017227,             0.85262,             0.84873,              0.9138,             0.57083,            0.028527,             0.01183,          0.00092295,            0.006634,            0.006634,            0.006634
                  70,            0.032227,            0.021854,           0.0016944,             0.85069,             0.85146,             0.91541,              0.5724,            0.028496,            0.011806,          0.00091143,           0.0065845,           0.0065845,           0.0065845
                  71,            0.032224,            0.021733,           0.0016734,             0.86096,             0.84453,              0.9146,             0.57297,            0.028485,            0.011791,          0.00089604,            0.006535,            0.006535,            0.006535
                  72,            0.032003,            0.021782,           0.0018623,             0.85549,             0.85221,             0.91613,             0.57288,            0.028477,             0.01176,          0.00087873,           0.0064855,           0.0064855,           0.0064855
                  73,            0.032014,            0.021742,           0.0017109,             0.85696,             0.85594,             0.91753,             0.57467,            0.028419,            0.011732,           0.0008683,            0.006436,            0.006436,            0.006436
                  74,            0.031957,            0.021592,           0.0017251,             0.86089,             0.85835,             0.91828,             0.57482,            0.028389,            0.011708,          0.00086132,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032025,            0.021755,           0.0017643,             0.86186,             0.85926,             0.91881,             0.57651,            0.028345,            0.011691,          0.00085305,            0.006337,            0.006337,            0.006337
                  76,            0.031635,            0.021559,           0.0016823,             0.86424,              0.8584,             0.91888,             0.57755,            0.028293,            0.011672,           0.0008491,           0.0062875,           0.0062875,           0.0062875
                  77,             0.03153,            0.021368,           0.0017265,             0.86723,             0.85513,              0.9203,             0.57835,            0.028249,            0.011654,          0.00084589,            0.006238,            0.006238,            0.006238
                  78,            0.031637,            0.021528,           0.0016863,             0.86172,             0.86229,             0.92146,             0.57985,            0.028196,            0.011635,          0.00083624,           0.0061885,           0.0061885,           0.0061885
                  79,            0.031427,            0.021365,           0.0017072,             0.86197,             0.86401,             0.92208,             0.58069,             0.02814,            0.011615,          0.00082779,            0.006139,            0.006139,            0.006139
                  80,            0.031393,            0.021348,           0.0016627,             0.86245,             0.86571,             0.92306,             0.58251,            0.028094,            0.011595,          0.00082185,           0.0060895,           0.0060895,           0.0060895
